Day,1,2,3,4,5,6
0,0,0.359385792,1.10377903,3.335264374,11.17454977,37.39775011
1,0,0.349784361,1.027532378,2.928615564,9.960251236,32.70999299
2,0,0.339241614,1.009082571,2.890962897,9.8567064,32.44642432
3,0,0.328698867,0.990632764,2.853310229,9.753161564,32.18285565
4,0,0.318156121,0.972182956,2.815657561,9.649616728,31.91928697
5,0,0.311296998,0.987548418,2.874827832,9.497129088,32.49705721
6,0,0.304437876,1.002913879,2.933998102,9.344641447,33.07482745
7,0,0.297578754,1.01827934,2.993168372,9.192153807,33.65259769
8,0,0.290719632,1.033644802,3.052338643,9.039666166,34.23036793
9,0,0.258252465,1.012636635,3.042789476,10.09962367,32.79799293
10,0,0.270666382,0.969665385,2.995043643,10.15691867,33.56192626
11,0,0.263480634,0.961548593,2.953982226,9.918189503,32.98897626
12,0,0.256294886,0.953431801,2.912920809,9.679460335,32.41602626
13,0,0.249109138,0.94531501,2.871859392,9.440731168,31.84307625
14,0,0.24192339,0.937198218,2.830797975,9.202002,31.27012625
15,0,0.236957824,0.917554218,2.782370058,9.080591166,30.85541958
16,0,0.231992257,0.897910218,2.733942142,8.959180332,30.44071292
17,0,0.22702669,0.878266218,2.685514225,8.837769499,30.02600625
18,0,0.222061123,0.858622218,2.637086308,8.716358665,29.61129958
19,0,0.217095557,0.838978218,2.588658391,8.594947831,29.19659291
20,0,0.21212999,0.819334217,2.540230474,8.473536997,28.78188624
21,0,0.207164423,0.799690217,2.491802557,8.352126163,28.36717957
22,0,0.206422717,0.796488859,2.431781967,8.172388306,27.50653478
23,0,0.20568101,0.793287501,2.371761376,7.99265045,26.64588999
24,0,0.204939303,0.790086143,2.311740785,7.812912593,25.7852452
25,0,0.204197596,0.786884785,2.251720194,7.633174736,24.9246004
26,0,0.203455889,0.783683427,2.191699604,7.453436879,24.06395561
27,0,0.202714183,0.780482069,2.131679013,7.273699022,23.20331082
28,0,0.20268231,0.766994869,2.086795279,7.122053008,23.04144833
29,0,0.202650438,0.753507669,2.041911545,6.970406994,22.87958583
30,0,0.202618566,0.740020469,1.997027811,6.818760981,22.71772334
31,0,0.202586694,0.726533268,1.952144077,6.667114967,22.55586085
32,0,0.202554822,0.713046068,1.907260343,6.515468953,22.39399836
33,0,0.202522949,0.699558868,1.862376609,6.363822939,22.23213587
34,0,0.202491077,0.686071668,1.817492875,6.212176925,22.07027338
35,0,0.202459205,0.672584468,1.772609141,6.060530911,21.90841088
36,0,0.202832488,0.675212998,1.820401743,6.117239489,21.99478629
37,0,0.203205771,0.677841529,1.868194344,6.173948066,22.08116169
38,0,0.203579055,0.68047006,1.915986946,6.230656644,22.1675371
39,0,0.203952338,0.683098591,1.963779547,6.287365222,22.2539125
40,0,0.204325621,0.685727121,2.011572149,6.344073799,22.3402879
41,0,0.204698904,0.688355652,2.05936475,6.400782377,22.42666331
42,0,0.205072187,0.690984183,2.107157352,6.457490954,22.51303871
43,0,0.202212722,0.684082024,2.079213277,6.348173733,22.24030454
44,0,0.199353256,0.677179865,2.051269202,6.238856511,21.96757036
45,0,0.19649379,0.670277706,2.023325127,6.129539289,21.69483619
46,0,0.193634324,0.663375547,1.995381052,6.020222068,21.42210202
47,0,0.190774858,0.656473387,1.967436977,5.910904846,21.14936785
48,0,0.187915392,0.649571228,1.939492902,5.801587625,20.87663367
49,0,0.185055926,0.642669069,1.911548827,5.692270403,20.6038995
50,0,0.181576088,0.628289571,1.883902822,5.609854011,20.42133155
51,0,0.178096249,0.613910074,1.856256817,5.527437619,20.23876359
52,0,0.174616411,0.599530576,1.828610812,5.445021227,20.05619563
53,0,0.171136572,0.585151078,1.800964807,5.362604835,19.87362767
54,0,0.167656734,0.57077158,1.773318802,5.280188443,19.69105972
55,0,0.164176895,0.556392082,1.745672797,5.197772051,19.50849176
56,0,0.16176114,0.548260476,1.719852472,5.111508692,19.20921072
57,0,0.159345384,0.540128869,1.694032147,5.025245332,18.90992967
58,0,0.156929628,0.531997263,1.668211821,4.938981972,18.61064863
59,0,0.154513873,0.523865657,1.642391496,4.852718613,18.31136759
60,0,0.152098117,0.515734051,1.616571171,4.766455253,18.01208654
61,0,0.149682361,0.507602445,1.590750845,4.680191893,17.7128055
62,0,0.147266606,0.499470839,1.56493052,4.593928534,17.41352445
63,0,0.14485085,0.491339233,1.539110195,4.507665174,17.11424341
64,0,0.134877444,0.467736974,1.469397898,4.357334454,16.77104429
65,0,0.124904038,0.444134714,1.399685601,4.207003733,16.42784516
66,0,0.114930632,0.420532455,1.329973304,4.056673012,16.08464603
67,0,0.104957226,0.396930196,1.260261007,3.906342292,15.74144691
68,0,0.09498382,0.373327936,1.190548711,3.756011571,15.39824778
69,0,0.085010415,0.349725677,1.120836414,3.60568085,15.05504866
70,0,0.084697457,0.344388093,1.102318361,3.558653134,14.84530504
71,0,0.0843845,0.339050509,1.083800307,3.511625418,14.63556143
72,0,0.084071543,0.333712925,1.065282254,3.464597701,14.42581781
73,0,0.083758585,0.32837534,1.0467642,3.417569985,14.2160742
74,0,0.083445628,0.323037756,1.028246147,3.370542269,14.00633059
75,0,0.083132671,0.317700172,1.009728093,3.323514553,13.79658697
76,0,0.082819713,0.312362588,0.99121004,3.276486836,13.58684336
77,0,0.082010341,0.307349055,0.976775455,3.232280783,13.41942469
78,0,0.081200969,0.302335522,0.96234087,3.18807473,13.25200602
79,0,0.080391596,0.297321989,0.947906284,3.143868676,13.08458735
80,0,0.079582224,0.292308456,0.933471699,3.099662623,12.91716868
81,0,0.078772852,0.287294924,0.919037114,3.05545657,12.74975001
82,0,0.077963479,0.282281391,0.904602529,3.011250516,12.58233134
83,0,0.077154107,0.277267858,0.890167944,2.967044463,12.41491267
